flightnum,departcity,arrivecity,departdaytime,arrivedaytime,cost,code
1587,"CUR","HNL","2022-01-02 12:00","2022-01-02 20:00",299.99,2
102,"HNL","HKG","2022-01-03 04:00","2022-01-03 08:00",99.95,4
105,"HNL","HKG","2022-01-03 06:00","2022-01-03 11:00",99.95,4
108,"HNL","HKG","2022-01-03 08:00","2022-01-03 14:00",299.99,4
111,"HNL","HKG","2022-01-03 09:00","2022-01-03 16:00",99.95,4
114,"HNL","HKG","2022-01-03 10:00","2022-01-03 18:00",159.99,4
117,"HNL","NRT","2022-01-03 04:00","2022-01-03 08:00",599.95,1
120,"HNL","NRT","2022-01-03 06:00","2022-01-03 11:00",209.89,1
123,"HNL","NRT","2022-01-03 08:00","2022-01-03 14:00",199.99,1
126,"HNL","NRT","2022-01-03 09:00","2022-01-03 16:00",59.00,1
129,"HNL","NRT","2022-01-03 10:00","2022-01-03 18:00",299.99,1
132,"HNL","CDG","2022-01-03 04:00","2022-01-03 08:00",59.00,2
135,"HNL","CDG","2022-01-03 06:00","2022-01-03 11:00",299.99,2
138,"HNL","CDG","2022-01-03 08:00","2022-01-03 14:00",125.00,2
141,"HNL","LHR","2022-01-03 04:00","2022-01-03 08:00",199.99,2
144,"HNL","LHR","2022-01-03 06:00","2022-01-03 11:00",99.95,2
147,"HNL","LHR","2022-01-03 08:00","2022-01-03 14:00",233.99,2
150,"HNL","ARN","2022-01-03 04:00","2022-01-03 08:00",199.99,2
153,"HNL","ARN","2022-01-03 06:00","2022-01-03 11:00",209.89,2
156,"HNL","ARN","2022-01-03 08:00","2022-01-03 14:00",599.95,2
159.00,"HNL","ARN","2022-01-03 09:00","2022-01-03 16:00",125.00,2
162,"HNL","ARN","2022-01-03 10:00","2022-01-03 18:00",599.95,2
165,"HNL","ARN","2022-01-03 12:00","2022-01-03 20:00",59.00,2
168,"HNL","ARN","2022-01-03 14:00","2022-01-04 20:00",125.00,2
171,"HNL","ARN","2022-01-03 15:00","2022-01-04 03:00",99.95,2
174,"HNL","GCM","2022-01-03 04:00","2022-01-03 08:00",59.00,3
177,"HNL","GCM","2022-01-03 06:00","2022-01-03 11:00",59.00,3
180,"HNL","GCM","2022-01-03 08:00","2022-01-03 14:00",99.95,3
183,"HNL","GCM","2022-01-03 09:00","2022-01-03 16:00",299.99,3
186,"HNL","GCM","2022-01-03 10:00","2022-01-03 18:00",199.99,3
189,"HNL","GCM","2022-01-03 12:00","2022-01-03 20:00",159.99,3
192,"HNL","YYZ","2022-01-03 04:00","2022-01-03 08:00",199.99,3
195,"HNL","YYZ","2022-01-03 06:00","2022-01-03 11:00",79.95,3
198,"HNL","ITO","2022-01-03 04:00","2022-01-03 08:00",209.89,2
201,"HNL","ITO","2022-01-03 06:00","2022-01-03 11:00",79.95,2
204,"HNL","ITO","2022-01-03 08:00","2022-01-03 14:00",199.99,2
207,"HNL","ITO","2022-01-03 09:00","2022-01-03 16:00",209.89,2
210,"HNL","ITO","2022-01-03 10:00","2022-01-03 18:00",599.95,2
213,"HNL","ITO","2022-01-03 12:00","2022-01-03 20:00",299.99,2
216,"HNL","ITO","2022-01-03 14:00","2022-01-04 20:00",599.95,2
219,"HNL","HNL","2022-01-03 04:00","2022-01-03 08:00",79.95,1
222,"HNL","HNL","2022-01-03 06:00","2022-01-03 11:00",209.89,1
225,"HNL","HNL","2022-01-03 08:00","2022-01-03 14:00",125.00,1
228,"HNL","HNL","2022-01-03 09:00","2022-01-03 16:00",79.95,1
231,"HNL","CUR","2022-01-03 04:00","2022-01-03 08:00",209.89,2
234,"HKG","HNL","2022-01-03 04:00","2022-01-03 08:00",79.95,1
237,"HKG","HNL","2022-01-03 06:00","2022-01-03 11:00",59.00,1
240,"HKG","HNL","2022-01-03 08:00","2022-01-03 14:00",233.99,1
243,"HKG","HNL","2022-01-03 09:00","2022-01-03 16:00",79.95,1
246,"HKG","NRT","2022-01-03 04:00","2022-01-03 08:00",299.99,4
249,"HKG","NRT","2022-01-03 06:00","2022-01-03 11:00",299.99,4
252,"HKG","NRT","2022-01-03 08:00","2022-01-03 14:00",233.99,4
255,"HKG","CDG","2022-01-03 04:00","2022-01-03 08:00",99.95,2
258,"HKG","CDG","2022-01-03 06:00","2022-01-03 11:00",199.99,2
261,"HKG","CDG","2022-01-03 08:00","2022-01-03 14:00",599.95,2
264,"HKG","CDG","2022-01-03 09:00","2022-01-03 16:00",59.00,2
267,"HKG","CDG","2022-01-03 10:00","2022-01-03 18:00",299.99,2
270,"HKG","CDG","2022-01-03 12:00","2022-01-03 20:00",59.00,2
273,"HKG","CDG","2022-01-03 14:00","2022-01-04 20:00",233.99,2
276,"HKG","CDG","2022-01-03 15:00","2022-01-04 03:00",233.99,2
279,"HKG","CDG","2022-01-03 17:00","2022-01-04 07:00",233.99,2
282,"HKG","LHR","2022-01-03 04:00","2022-01-03 08:00",99.95,1
285,"HKG","LHR","2022-01-03 06:00","2022-01-03 11:00",233.99,1
288,"HKG","LHR","2022-01-03 08:00","2022-01-03 14:00",199.99,1
291,"HKG","LHR","2022-01-03 09:00","2022-01-03 16:00",79.95,1
294,"HKG","ARN","2022-01-03 04:00","2022-01-03 08:00",79.95,2
297,"HKG","ARN","2022-01-03 06:00","2022-01-03 11:00",125.00,2
300,"HKG","ARN","2022-01-03 08:00","2022-01-03 14:00",99.95,2
303,"HKG","ARN","2022-01-03 09:00","2022-01-03 16:00",233.99,2
306,"HKG","ARN","2022-01-03 10:00","2022-01-03 18:00",59.00,2
309,"HKG","ARN","2022-01-03 12:00","2022-01-03 20:00",125.00,2
312,"HKG","ARN","2022-01-03 14:00","2022-01-04 20:00",299.99,2
315,"HKG","ARN","2022-01-03 15:00","2022-01-04 03:00",199.99,2
318,"HKG","ARN","2022-01-03 17:00","2022-01-04 07:00",99.95,2
321,"HKG","GCM","2022-01-03 04:00","2022-01-03 08:00",79.95,4
324,"HKG","GCM","2022-01-03 06:00","2022-01-03 11:00",79.95,4
327,"HKG","GCM","2022-01-03 08:00","2022-01-03 14:00",159.99,4
330,"HKG","GCM","2022-01-03 09:00","2022-01-03 16:00",59.00,4
333,"HKG","GCM","2022-01-03 10:00","2022-01-03 18:00",209.89,4
336,"HKG","GCM","2022-01-03 12:00","2022-01-03 20:00",299.99,4
339,"HKG","GCM","2022-01-03 14:00","2022-01-04 20:00",199.99,4
342,"HKG","YYZ","2022-01-03 04:00","2022-01-03 08:00",299.99,2
