1,1587,"CUR","HNL","12:00","Sunday","20:00","Sunday",299.99,2
2,102,"HNL","HKG","4:00","Monday","8:00","Monday",99.95,4
3,105,"HNL","HKG","6:00","Monday","11:00","Monday",99.95,4
4,108,"HNL","HKG","8:00","Monday","14:00","Monday",299.99,4
5,111,"HNL","HKG","9:00","Monday","16:00","Monday",99.95,4
6,114,"HNL","HKG","10:00","Monday","18:00","Monday",159.99,4
7,117,"HNL","NRT","4:00","Monday","8:00","Monday",599.95,1
8,120,"HNL","NRT","6:00","Monday","11:00","Monday",209.89,1
9,123,"HNL","NRT","8:00","Monday","14:00","Monday",199.99,1
10,126,"HNL","NRT","9:00","Monday","16:00","Monday",59,1
11,129,"HNL","NRT","10:00","Monday","18:00","Monday",299.99,1
12,132,"HNL","CDG","4:00","Monday","8:00","Monday",59,2
13,135,"HNL","CDG","6:00","Monday","11:00","Monday",299.99,2
14,138,"HNL","CDG","8:00","Monday","14:00","Monday",125,2
15,141,"HNL","LHR","4:00","Monday","8:00","Monday",199.99,2
16,144,"HNL","LHR","6:00","Monday","11:00","Monday",99.95,2
17,147,"HNL","LHR","8:00","Monday","14:00","Monday",233.99,2
18,150,"HNL","ARN","4:00","Monday","8:00","Monday",199.99,2
19,153,"HNL","ARN","6:00","Monday","11:00","Monday",209.89,2
20,156,"HNL","ARN","8:00","Monday","14:00","Monday",599.95,2
21,159,"HNL","ARN","9:00","Monday","16:00","Monday",125,2
22,162,"HNL","ARN","10:00","Monday","18:00","Monday",599.95,2
23,165,"HNL","ARN","12:00","Monday","20:00","Monday",59,2
24,168,"HNL","ARN","14:00","Monday","0:00","Tuesday",125,2
25,171,"HNL","ARN","15:00","Monday","3:00","Tuesday",99.95,2
26,174,"HNL","GCM","4:00","Monday","8:00","Monday",59,3
27,177,"HNL","GCM","6:00","Monday","11:00","Monday",59,3
28,180,"HNL","GCM","8:00","Monday","14:00","Monday",99.95,3
29,183,"HNL","GCM","9:00","Monday","16:00","Monday",299.99,3
30,186,"HNL","GCM","10:00","Monday","18:00","Monday",199.99,3
31,189,"HNL","GCM","12:00","Monday","20:00","Monday",159.99,3
32,192,"HNL","YYZ","4:00","Monday","8:00","Monday",199.99,3
33,195,"HNL","YYZ","6:00","Monday","11:00","Monday",79.95,3
34,198,"HNL","ITO","4:00","Monday","8:00","Monday",209.89,2
35,201,"HNL","ITO","6:00","Monday","11:00","Monday",79.95,2
36,204,"HNL","ITO","8:00","Monday","14:00","Monday",199.99,2
37,207,"HNL","ITO","9:00","Monday","16:00","Monday",209.89,2
38,210,"HNL","ITO","10:00","Monday","18:00","Monday",599.95,2
39,213,"HNL","ITO","12:00","Monday","20:00","Monday",299.99,2
40,216,"HNL","ITO","14:00","Monday","0:00","Tuesday",599.95,2
41,219,"HNL","HNL","4:00","Monday","8:00","Monday",79.95,1
42,222,"HNL","HNL","6:00","Monday","11:00","Monday",209.89,1
43,225,"HNL","HNL","8:00","Monday","14:00","Monday",125,1
44,228,"HNL","HNL","9:00","Monday","16:00","Monday",79.95,1
45,231,"HNL","CUR","4:00","Monday","8:00","Monday",209.89,2
46,234,"HKG","HNL","4:00","Monday","8:00","Monday",79.95,1
47,237,"HKG","HNL","6:00","Monday","11:00","Monday",59,1
48,240,"HKG","HNL","8:00","Monday","14:00","Monday",233.99,1
49,243,"HKG","HNL","9:00","Monday","16:00","Monday",79.95,1
50,246,"HKG","NRT","4:00","Monday","8:00","Monday",299.99,4
51,249,"HKG","NRT","6:00","Monday","11:00","Monday",299.99,4
52,252,"HKG","NRT","8:00","Monday","14:00","Monday",233.99,4
53,255,"HKG","CDG","4:00","Monday","8:00","Monday",99.95,2
54,258,"HKG","CDG","6:00","Monday","11:00","Monday",199.99,2
